Name,Meaning,likes
Aabheer,A cow herd,20770.0
Aadvik,"In Sanskrit, it means ‘Unique’, ‘Unusual’ or ‘Different’",6784.0
Aarav,"Aarav comes from a Sanskrit word meaning 'peaceful and calm'. In Hindi, the name means 'high regard'.",6548.0
Aadarsh,It is a variant of Adarsh and means 'ideal' or 'perfect',5509.0
Aahan,"In Sanskrit, it means 'sunrise or dawn', 'first ray of light'.",4713.0
Aadav,It is a Hindu name that implies the sun,3954.0
Aadavan,"In Sanskrit, it means 'the sun'. It is also the name of Vishnu",3195.0
Aadhik,The greater,3001.0
Aarush,First winter sun’s rays,2901.0
Aadi,"In Sanskrit,the name means 'the beginning' ,'the first' or most important",2769.0
Aarnav,One who comes from the sea,2653.0
Daksh,The name of Sanskrit origin means 'Competent'.,2631.0
Aayan,Belonging to the solstice; also means 'coming' or 'approaching',2570.0
Aadesh,It is a hindi word meaning instruction or guideline,2490.0
Atharv,"Atharv is a vedic text of Sanskrit origin meaning 'knowledge'. In other words, Atharv-Veda is also the name given to the vedas of the knowledge of God or Rishi.",2448.0
Saatvik,Pious,2234.0
Aaryan,"Honourable, Devoted, Noble, Gentleman-like",2222.0
Dakshit,Lord Shiva,2029.0
Aadhan,Be first,1992.0
Aanav,"The name means 'humane', 'generous' in Sanskrit.",1981.0
Aadhira,Moon,1945.0
Aadidev,The first god,1898.0
Aadit,"In Sanskrit, it means 'peak' 'first', 'lord of the Sun'",1864.0
Aarsh,,1850.0
Advik,The name means ‘unique' in Sanskrit.,1844.0
Aadvay,Aadvay means unique or one of a kind,1839.0
Aadish,It means wise or intellgent,1721.0
Reyansh,The Sanskrit origin name means 'first ray of sunlight'.,1686.0
Aadhikesav,It is used to imply Lord Vishnu,1659.0
Aadhith,It means 'first',1656.0
Aariv,"The name means 'wise, full of wisdom'.",1623.0
Aayush,,1610.0
Daivik,By the grace of God,1559.0
Aarpit,To donate,1539.0
Aaditya,It is a baby name that means the 'sun',1519.0
Dhruv,"The name of Sanskrit origin means 'constant', 'faithful'.",1465.0
Ayaan,The meaning of the name is ‘God’s gift'.,1455.0
Aalok,"In Sanskrit, it means 'enlightenment or light of divinity'.",1455.0
Kairav,The name means 'white lotus' in Sanskrit.,1437.0
Aardik,the person who is affectionate to his fellowmen,1429.0
Aadir,"Origin, beginning",1380.0
Aarul,"The name means 'blessed person', 'grace of God' and 'brilliant'.",1356.0
Aahish,Blessing of God,1339.0
Darsh,Lord krishna,1332.0
Aadhinath,It means '˜first',1316.0
Ayush,The Hindu baby boy name is of Sanskrit origin meaning 'long life' .,1273.0
Arush,The name Arush has its origin in India and means ‘first ray of sun’.,1251.0
Aarin,"In Hebrew, it means 'mountain strength'.",1251.0
Taksh,The name means 'a great champion' in Sanskrit.,1199.0
Aarit,"The name of Sanskrit origin means 'one who seeks the right direction', 'beloved', 'friend', 'honored'.",1187.0
Aadinath,The first god,1177.0
Pranav,The name is of Sanskrit origin meaning 'very frsh or young'.,1173.0
Aryan,"The name of Arabic origin means 'warrior', 'kind'.",1165.0
Raayan,"The name has many origins. The Arabic version means ‘gates of paradise/heaven’. In Sanskrit, the name means 'little prince' while the name stands for'graceful' in Jewish.",1145.0
Daiwik,"The name means ‘God’s grace’, 'divine' in Sanskrit.",1144.0
Viaan,The name means ‘full of life and energy’.,1135.0
Aagam,"Coming, arrival",1126.0
Rakshit,The ancient Sanskrit word has meanings 'saved and protected'.,1115.0
Ishan,"The hugely popular baby boy name is of Sanskrit origin and means 'possessing, rudras, lord, master, light, wealthy, reigning'. Ish is also a Sanskrit word that refers to the invisible power that governs the world.",1081.0
Aarshabh,Another name of Lord Sri Krishna,1055.0
Aagney,Son of fire,1024.0
Paarth,"Another name of arjuna, a king, student",1014.0
Saaketh,Lord krishna,1011.0
Ayan,"In Sanskrit, it means 'Gift from God'",999.0
Avyaan,The name means 'all protector' 'fully content' in Sanskrit.,995.0
Abhinav,Novel; young; fresh,988.0
Mohit,The Sanskrit word means 'infatuated or charmed'.,985.0
Saagar,Ocean,968.0
Aadhunik,It means new or latest,952.0
Vihaan,Morning; dawn,941.0
Vedant,Ultimate Wisdom; one who is blessed with vedic knowledge,935.0
Aadipta,"Sanskrit meaning Blazing up, Set on fire, splendid, brilliant etc...",924.0
Aaditeya,Son of aditi,918.0
Advait,Unique,910.0
Aadinadh,It is used to imply Lord Vishnu,905.0
Rachit,Invention,893.0
Kiaan,The name has a Sanskrit origin meaning 'Grace of God'.,876.0
Aakash,Upper Sky,866.0
Arav,Peaceful,854.0
Devansh,Part of god,845.0
Maadhav,Another name of krishna,839.0
Aaditey,"Relating to God of sun, Son of Aditi; Crown flower plant",819.0
Aarth,Meaning,812.0
Aditya,Sun god,812.0
Tanush,Lord shiva,798.0
Vivaan,Lord krishna,794.0
Aagneya,Son of the fire,778.0
Akshit,Permanent,778.0
Abhay,"Fearless,Courageous, a son of dharma",767.0
Reyaansh,Vishnu's ansh,766.0
Vaibhav,Prosperity,759.0
Tanish,Ambition,755.0
Harshit,Joyous,748.0
Aarhant,Protector from enemies,745.0
Aastik,Who has faith in god,730.0
Aashish,Blessing,728.0
Samarth,Lord krishna,724.0
Rahul,An efficient person,724.0
Aakaash,Sky,715.0
Chaarvik,One for all,713.0
Darshit,One who sees the holy form of a deity,713.0
Aayu,Span of life,713.0
Ahan,One who is of the nature of time itself,712.0
Naman,"The name of Hindi and Hebrew origin means 'salutations', 'be kind'.",708.0
Vaarush,One who is destined to win,694.0
Maanas,Artistic and creative,688.0
Aadimoolan,"Being Extreme, Dominant or supreme",687.0
Aaroha,"It is a Hindu name that means, 'ever rising'",685.0
Daanesh,"knowledge,wisdom",678.0
Bhavin,The word Bhavin means 'beautiful and blessing'.,676.0
Arnav,"Ocean, sea",675.0
Saharsh,With joy,672.0
Aatish,"Explosive,a dynamic person",668.0
Arya,Great person,668.0
Aanjay,Unconquerable or one who cannot be defeated,663.0
Haarsh,Symbol of happiness,659.0
Kaanishik,It is a variant of the name Kanishka. He was an ancient Indian King.,659.0
Hardik,Heartfelt,658.0
Aakarshan,Attraction,653.0
Aanan,Aanan means appearance of a person,652.0
Harsh,Happiness,650.0
Maanvir,The man who is fearless by heart,648.0
Aahva,Beloved,642.0
Abhik,The name comes from Sanskrit meaning 'fearless'.,642.0
Aamil,One who is invaluable,637.0
Aaranyan,Lush like a forest,629.0
Aalap,Prelude to a raga,627.0
Aanand,Joy,624.0
Jatin,"The ancient Sanskrit name means 'disciplined', 'someone with a matted lock'.",621.0
Yug,"The name means 'an era', 'a generation' in Hindi.",616.0
Akhil,World,614.0
Tanmay,Absorbed,609.0
Rithwik,Saint,603.0
Aadinathan,The one who serves the first creator,599.0
Nevaan,The name means'‘holy soul’ in Sanskrit.,599.0
Aahvan,Call out to someone,599.0
Aanandswarup,Full of joy,593.0
Aahlaad,Delight,590.0
Arun,The name is of Sanskrit origin meaning 'the dawn or life giving power'.,590.0
Raahi,Traveller,587.0
Aayushmaan,With long life,584.0
Aamod,Pleasure,582.0
Aniket,Homeless; lord shiva,579.0
Aakaar,Shape,578.0
Aaghosh,Aaghosh means to embrace,571.0
Maahi,The great one,570.0
Hemant,"The Sanskrit name means 'gold','cold or wintry'. Sanskrit word Hemant is the name of the cold season or winter in India.",559.0
Paarthiv,Earthly,558.0
Daamodar,A name of krishna,553.0
Abhiraj,Fearless king,552.0
Tejas,Lustre; brilliance,552.0
Anish,Lord vishnu; lord shiva,548.0
Aashay,,547.0
Hardhik,The affectionate one,543.0
Aatreya,Name of a sage,541.0
Mayank,Moon,540.0
Hanish,One who warns you from dangers,539.0
Anant,"In Sanskrit, it means, ‘without end’, 'infinite', 'joyful'.",535.0
Kanishk,An ancient king,535.0
Aaraadhak,Worshipper,534.0
Rakesh,Ruler of the full moon day,534.0
Adyah,The name means 'the first' in Sanskrit.,532.0
Arjun,Shining Star,532.0
Hridhaan,The name of Arabic origin means 'a person with a big heart' .,532.0
Adarsh,Ideal,531.0
Dakshesh,Name of lord shiva,529.0
Abhijith,One who is victorious; 8th Muhurat of the day;,527.0
Raghav,Lord rama,526.0
Havish,Lord shiva,526.0
Sachin,Lord shiva,524.0
Ryan,The little ruler ; little king,523.0
Harish,Lord shiva; lord krishna,523.0
Advay,Unique,512.0
Akshar,"The name means 'eternal, god of gods'.",505.0
Aanjaneya,Son of anjani,498.0
Yash,Fame,490.0
Aakar,Shape,490.0
Devesh,The name means ‘lord of the lords’.,487.0
Akash,Sky,486.0
Riaan,,484.0
Eashan,Lord vishnu,483.0
Kabir,Great personality,481.0
Abhi,Fearless,480.0
Kartik,One who gives happiness and courage to all,479.0
Ishaan,The person who brings riches,477.0
Vansh,Coming generation of father,475.0
Laksh,"Aim, target",473.0
Parikshit,An ancient king,473.0
Akshaj,Lord vishnu,472.0
Deekshith,Refers to a very shrewd and meticulous person,466.0
Ashvik,"Santhoshi mata,mare",465.0
Akshat,Unharmed,460.0
Tanvir,Strong,460.0
Charan,"The word Charan is of Sanskrit origin meaning 'foot','support' and 'good conduct'.",460.0
Priyanshu,,456.0
Avyukt,"Crystal clear,lord krishna",455.0
Sachit,Joyful,455.0
Aapt,Trustworthy,453.0
Rishabh,One who is superior or excellent,453.0
Rishit,The best,452.0
Rudra,"Angry, lord shiva",451.0
Danish,One who is mercyful and foreseening,451.0
Anay,Radha's husband,451.0
Saajan,Beloved,449.0
Jaswin,One who has won the heart of others,447.0
Aashank,,446.0
Aashutosh,Who is easily pleased,446.0
Paaras,One who is precious for the community,445.0
Mihir,The sun,444.0
Abhiram,The Lord Shiva; joyous; beautiful,443.0
Anagh,The name comes from Sanskrit meaning 'the sinless or faultless'. 'An' in Anagh means 'without' while 'agh' means 'impurity'.,440.0
Abhas,"Brilliant, magnificent, shining",440.0
Aarodeep,,439.0
Maadhakrishnan,Devotee of Lord Shiva and Krishna,438.0
Atharva,Name of ganesha; the first vedas,438.0
Kian,The unique name of Sanskrit origin means ‘grace of God’.,438.0
Rushabh,The Sanskrit word Rushabh means 'most excellent'.,436.0
Nikhil,New master of the group,435.0
Tanay,Son,435.0
Jainil,,431.0
Aananthan,a boy who is happy and shares happiness with all,427.0
Ritvik,Priest,426.0
Partha or Parth,"The name means'one who never miss the target', 'king'.",421.0
Madhav,Lord krishna,419.0
Saketh,Lord krishna,419.0
Ansh,Portion,419.0
Namish,Lord vishnu,418.0
Lakshit,Hindu name that means 'target or goal',416.0
Barun,The name means 'lord of the sea' in Sanskrit.,416.0
Medhansh,Who born with intelligence,415.0
Tanishq,Jewel,413.0
Yakshit,One who exists forever,412.0
Harshil,A bringer of joy,411.0
Divyansh,,410.0
Darshil,Rose,410.0
Ruhan,Spiritual,409.0
Parth,King;arjun,408.0
Aandaleeb,The bulbul bird,408.0
Abadhya,Always victorious; unopposed,408.0
Saaras,Swan,407.0
Aashman,Son of the sun,407.0
Parthiv,Prince of earth,406.0
Vahin,Lord shiva,405.0
Nimit,"The name comes from Sanskrit literature meaning 'destiny'. The name also means 'fixed or determined', 'measured'.",404.0
Daevarshan,offering made to the Gods,402.0
Nabhya,Lord shiva,401.0
Divit,Immortal,400.0
Rajveer,"The hero of the kingdom, the warrior",400.0
Anmay,It is a Hindu name that means invaluable or priceless,399.0
Kavish,King of poets; name of lord ganesh,398.0
Anamay,Another name of lord Shiva; free from disease; healthy,397.0
Anuraj,"The popular masculine Hindu/Sanskrit name, means ""be brilliant and devoted"" in Sanskrit. The name also means 'attracted, eloved, illuminating or enlightening'.",395.0
Abhimanyu,Son of arjuna,395.0
Saket,Heaven,393.0
Dev,God,393.0
Rayan,,393.0
Gaurav,"Honour, pride, respect",393.0
Hitansh,Helper,392.0
Pulkit,"The name Pulkit is of Sanskrit origin meaning ‘happy’, 'thrilled'.",391.0
Sachchit,Lord brahma,389.0
Abhigyaan,One who is very wise and full of wisdom,388.0
Abin,Servant of the lord,388.0
Nihal,Gratified,387.0
Jai,Victory,386.0
Adhikshit,"The king, lord",385.0
Akshay,Immortal,385.0
Aatmaj,Son,384.0
Baadal,Cloud,383.0
Panav,Prince,383.0
Darshan,Vision,383.0
Jeyan,,382.0
Janav,Protecting men,380.0
Hrehaan,"The name is a variation of the Arabic word Rehan, meaning ‘God’s chosen one'.",379.0
Archit,Worshipped,379.0
Yuvansh,Full of life and energy,379.0
Harshith,Happier,378.0
Maan,Mind,378.0
Viven,One who is blessed with great insight; Another name of Lord Krishna,377.0
Anirudh,Boundless,375.0
Abeesh,"Wanted, desired",375.0
Daaruk,"Charioteer of krishna, tree",372.0
Mayan,Pure one,371.0
Tanuj,Son,369.0
Yuvin,One who leads; a great leader,368.0
Parthik,The own who is born out of love and is pure,368.0
Pranay,"Love, friendship",366.0
Akul,A name of lord shiva,364.0
Deeshan,Deeshan is one who directs the path of others,363.0
Dakshin,Indian word for south direction,362.0
Sachiv,The name of Sanskrit origin means 'friend'.,361.0
Panshul,Lord shiva,361.0
Rachvik,,359.0
Nakul,Twin brother of sahdev,359.0
Manan,Thinking,358.0
Saksham,"Able,capable",356.0
Aayushi,,352.0
Ved,Knowledge,351.0
Neerav,"Quiet, silent",349.0
Naabhi,"Centre of body, an ancient king",348.0
Manas,Mind,348.0
Daarun,Hard male hindu,347.0
